7MSHOT,7MACC,6MSHOT,6MACC,9MSHOT,9MACC,WINGSHOT,WINGACC,PIVOTSHOT,PIVOTACC,FASTBREAKSHOT,FASTBREAKACC,GOAL
0,0.0,3,1.0,9,0.33,0,0.0,0,0.0,0,0.0,6
0,0.0,4,0.75,0,0.0,0,0.0,1,1.0,0,0.0,4
0,0.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1
0,0.0,3,0.67,3,0.67,1,1.0,0,0.0,0,0.0,5
0,0.0,1,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1
0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,1,1.0,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1
0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
1,1.0,4,0.75,3,0.67,0,0.0,0,0.0,0,0.0,6
0,0.0,4,0.5,2,1.0,0,0.0,0,0.0,0,0.0,4
0,0.0,5,0.6,1,0.0,0,0.0,0,0.0,0,0.0,3
0,0.0,3,0.67,1,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,6,0.83,3,0.67,0,0.0,0,0.0,1,1.0,8
0,0.0,3,0.67,2,0.5,0,0.0,0,0.0,0,0.0,3
0,0.0,1,1.0,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0,0.0,4
0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3
0,0.0,2,1.0,1,0.0,0,0.0,0,0.0,0,0.0,2
1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1
0,0.0,4,0.75,4,0.5,0,0.0,0,0.0,1,1.0,6
0,0.0,1,1.0,4,0.25,0,0.0,0,0.0,0,0.0,2
0,0.0,2,1.0,0,0.0,0,0.0,1,0.0,0,0.0,2
0,0.0,3,0.33,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1
0,0.0,1,1.0,2,1.0,0,0.0,0,0.0,0,0.0,3
0,0.0,1,1.0,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,4,0.5,3,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,2,0.5,7,0.57,0,0.0,0,0.0,0,0.0,5
0,0.0,4,0.75,0,0.0,0,0.0,0,0.0,0,0.0,3
0,0.0,4,0.5,2,0.0,0,0.0,1,0.0,0,0.0,2
0,0.0,4,0.5,4,0.5,0,0.0,0,0.0,0,0.0,4
0,0.0,0,0.0,4,0.75,0,0.0,0,0.0,0,0.0,3
0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,1,0.0,2
0,0.0,5,0.6,2,0.5,0,0.0,1,1.0,0,0.0,5
1,1.0,6,0.33,3,0.67,0,0.0,0,0.0,0,0.0,5
0,0.0,3,0.33,3,1.0,0,0.0,0,0.0,0,0.0,4
0,0.0,4,0.75,0,0.0,0,0.0,0,0.0,0,0.0,3
0,0.0,3,0.67,1,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,2
0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,3,0.67,3,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,5,0.8,4,0.75,0,0.0,0,0.0,0,0.0,7
0,0.0,1,1.0,3,0.67,0,0.0,0,0.0,0,0.0,3
0,0.0,1,0.0,2,0.5,0,0.0,0,0.0,0,0.0,1
0,0.0,3,0.67,1,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,2,0.5,3,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,4,0.75,2,0.5,0,0.0,0,0.0,0,0.0,4
0,0.0,1,1.0,0,0.0,0,0.0,2,0.5,0,0.0,2
0,0.0,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,1,1.0,2,0.5,0,0.0,0,0.0,0,0.0,2
0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,6,0.67,2,0.0,0,0.0,0,0.0,1,1.0,5
0,0.0,1,1.0,3,0.0,0,0.0,0,0.0,2,0.5,2
0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1
0,0.0,4,0.75,1,1.0,0,0.0,0,0.0,0,0.0,4
0,0.0,2,0.5,0,0.0,0,0.0,1,1.0,0,0.0,2
0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1
0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,2,1.0,4,0.5,0,0.0,0,0.0,0,0.0,4
0,0.0,3,0.67,4,0.25,0,0.0,0,0.0,0,0.0,3
0,0.0,2,0.5,0,0.0,0,0.0,1,1.0,0,0.0,2
0,0.0,2,1.0,2,0.5,0,0.0,0,0.0,0,0.0,3
0,0.0,4,0.5,3,0.33,0,0.0,0,0.0,0,0.0,3
0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,3,1.0,2,0.5,0,0.0,0,0.0,0,0.0,4
0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,3,0.33,1,1.0,0,0.0,0,0.0,0,0.0,2
0,0.0,1,1.0,2,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,4,0.5,2,0.5,0,0.0,0,0.0,0,0.0,3
0,0.0,1,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2
0,0.0,3,0.0,4,0.25,0,0.0,0,0.0,0,0.0,1
0,0.0,3,0.67,9,0.56,0,0.0,0,0.0,0,0.0,7
0,0.0,3,0.67,7,0.57,0,0.0,0,0.0,0,0.0,6
0,0.0,1,1.0,5,0.2,0,0.0,0,0.0,0,0.0,2
0,0.0,0,0.0,3,0.33,0,0.0,0,0.0,0,0.0,1
0,0.0,1,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0
0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,4
0,0.0,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,4,0.75,0,0.0,0,0.0,1,1.0,0,0.0,4
0,0.0,2,0.5,2,1.0,0,0.0,0,0.0,0,0.0,3
0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2
0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1
0,0.0,4,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2
1,0.0,4,0.5,2,0.0,0,0.0,0,0.0,0,0.0,2
0,0.0,3,0.33,1,0.0,0,0.0,0,0.0,0,0.0,1
0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0
